Time Z G C Phi
48 378.48355304  99.01236375 171.80675287]" "[ 5.56327121  2.56936584 10.00471358  5.56849426]" "[ 47.97082097  98.00909453 219.99300724 269.62617987]" "[-0.0541256  -0.23523643 -0.1372914  -0.29533435]" 21.875
4.999 "[179.52213467 378.15644715  99.01424197 171.77910248]" "[ 5.56209521  2.57154902 10.00456737  5.56950947]" "[ 48.22896237  98.113667   219.93859189 269.60721498]" "[-0.05442774 -0.23528556 -0.13725985 -0.29526402]" 21.875
9.998 "[179.52879782 378.23633947  99.02142387 171.76406473]" "[ 5.56188003  2.57123967 10.00372575  5.5700976 ]" "[ 48.25249267  97.93759364 220.05643107 269.57829932]" "[-0.05445634 -0.23490594 -0.1373439  -0.29520476]" 21.875
14.997 "[179.53120237 378.16512098  99.01915033 171.78314748]" "[ 5.56191584  2.57158362 10.00385733  5.56947805]" "[ 47.92813888  98.04928725 220.17424029 269.54877778]" "[-0.05409068 -0.23513374 -0.13741471 -0.29520525]" 22.0
19.996 "[179.52520641 378.01180377  99.01149871 171.78963574]" "[ 5.56201175  2.57256664 10.00471208  5.56912479]" "[ 48.19363002  98.12913432 220.09751025 269.61340106]" "[-0.05438876 -0.23523179 -0.13735582 -0.29528964]" 22.0
25.014 "[179.56056204 378.09453765  99.01502338 171.80449933]" "[ 5.56093612  2.57212447 10.00432597  5.56841642]" "[ 48.12726902  98.0283214  220.1238746  269.7083621 ]" "[-0.05432449 -0.23503778 -0.13737731 -0.29542313]" 22.0
30.013 "[179.55020636 378.27170217  99.0276373  171.79181911]" "[ 5.56122233  2.57076328 10.00299526  5.56911664]" "[ 48.23164427  98.08536884 220.16069494 269.57708052]" "[-0.05443929 -0.23528948 -0.13741804 -0.29525252]" 22.0
